,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-10-17,1011.639874279373,1016.6716681315924,1220.9971898072674,1011.639874279373,1011.639874279373,103.71323856033094,103.71323856033094,103.71323856033094,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474573672,3.029222474573672,3.029222474573672,63.44012597758059,63.44012597758059,63.44012597758059,0.0,0.0,0.0,1115.353112839704
1,2017-10-18,1016.1066983587741,1014.3920404851376,1212.094830109331,1016.1066983587741,1016.1066983587741,99.90623348932004,99.90623348932004,99.90623348932004,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608060526,6.089135608060526,6.089135608060526,56.57320777308285,56.57320777308285,56.57320777308285,0.0,0.0,0.0,1116.0129318480942
2,2017-10-19,1020.5735224381754,1012.5532125694092,1205.0206747129725,1020.5735224381754,1020.5735224381754,92.30450870745346,92.30450870745346,92.30450870745346,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862005356,5.622399862005356,5.622399862005356,49.438218737271434,49.438218737271434,49.438218737271434,0.0,0.0,0.0,1112.878031145629
3,2017-10-20,1025.0403465175766,1012.98629394658,1206.4659855241953,1025.0403465175766,1025.0403465175766,77.25477389616978,77.25477389616978,77.25477389616978,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110383791,-2.071396110383791,-2.071396110383791,42.08227989837689,42.08227989837689,42.08227989837689,0.0,0.0,0.0,1102.2951204137464
4,2017-10-23,1038.44081875578,989.7677182672861,1198.196372468002,1038.44081875578,1038.44081875578,53.09746439857033,53.09746439857033,53.09746439857033,37.24389010817667,37.24389010817667,37.24389010817667,-3.358388697147569,-3.358388697147569,-3.358388697147569,19.211962987541227,19.211962987541227,19.211962987541227,0.0,0.0,0.0,1091.5382831543502
5,2017-10-24,1042.9076428351812,996.0429242006334,1188.63673533075,1042.9076428351812,1042.9076428351812,51.77934560657183,51.77934560657183,51.77934560657183,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745634564,3.0292224745634564,3.0292224745634564,11.5062330238317,11.5062330238317,11.5062330238317,0.0,0.0,0.0,1094.6869884417529
6,2017-10-25,1047.3744669145822,999.1908679213902,1198.6622633208083,1047.3744669145822,1047.3744669145822,47.18715385935599,47.18715385935599,47.18715385935599,37.24389010817667,37.24389010817667,37.24389010817667,6.0891356080618335,6.0891356080618335,6.0891356080618335,3.8541281431174808,3.8541281431174808,3.8541281431174808,0.0,0.0,0.0,1094.561620773938
7,2017-10-26,1051.8412909939834,988.9969507258763,1187.4813819873732,1051.8412909939834,1051.8412909939834,39.17821455199879,39.17821455199879,39.17821455199879,37.24389010817667,37.24389010817667,37.24389010817667,5.6223998619982,5.6223998619982,5.6223998619982,-3.6880754181760773,-3.6880754181760773,-3.6880754181760773,0.0,0.0,0.0,1091.0195055459822
8,2017-10-27,1056.3081150733847,980.5513383087991,1176.2211429563918,1056.3081150733847,1056.3081150733847,24.10680841862793,24.10680841862793,24.10680841862793,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961103916163,-2.0713961103916163,-2.0713961103916163,-11.065685579157128,-11.065685579157128,-11.065685579157128,0.0,0.0,0.0,1080.4149234920126
9,2017-10-30,1069.708587311588,967.9841390333489,1167.9644284850958,1069.708587311588,1069.708587311588,2.1814566125411075,2.1814566125411075,2.1814566125411075,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971601644,-3.3583886971601644,-3.3583886971601644,-31.7040447984754,-31.7040447984754,-31.7040447984754,0.0,0.0,0.0,1071.890043924129
